SDG,Value
Overall score,2.26546567
SDG 1,1.339709981
SDG 2,0.985835146
SDG 3,1.023873885
SDG 4,2.787031838
SDG 6,2.42338593
SDG 7,1.855181672
SDG 8,1.906519459
SDG 9,1.603865476
SDG 10,2.367910057
SDG 11,1.820129053
SDG 12,-1.934223634
SDG 13,-2.614260076
SDG 14,-0.30073109
SDG 15,1.806452118
SDG 16,2.893950618
SDG 17,1.980277462
