Indicator,Index,values,Year
SDG15-1,2,71.03227155,2020
SDG16-1,2,45.28117572,2020
SDG17-1,2,1.58116288,2020
SDG17-2,2,6.563467063,2020
SDG17-3,2,1.631400307,2020
SDG17-4,2,89.03513471,2020
SDG17-5,2,0.216299,2020
SDG17-6,2,1.161179363,2020
SDG17-7,2,3.366973167,2020
SDG1-1,1,21.2614853,2021
SDG2-1,1,10.9596729,2021
SDG3-1,1,13.9229588,2021
SDG3-2,1,71.04874399,2021
SDG3-3,1,0.112154376,2021
SDG3-4,1,14.36453947,2021
SDG3-5,1,5.502837411,2021
SDG3-6,1,1.594829695,2021
SDG4-1,1,54.42550438,2021
SDG6-1,1,67.11674161,2021
SDG6-2,1,56.60775264,2021
SDG6-3,1,74.23032124,2021
SDG7-1,1,64.8087761,2021
SDG7-2,1,84.23314578,2021
SDG8-1,1,5.152,2021
SDG8-2,1,10.95237755,2021
SDG8-3,1,25.37128933,2021
SDG8-4,1,45.19180221,2021
SDG8-5,1,61.04729289,2021
SDG8-6,1,50.18504036,2021
SDG9-1,1,233.5657887,2021
SDG9-2,1,5.212647112,2021
SDG9-3,1,2.667914885,2021
SDG9-4,1,1.8819231,2021
SDG9-5,1,1.33655922,2021
SDG9-6,1,10.85388129,2021
SDG10-2,1,5.930937313,2021
SDG11-1,1,82.93841579,2021
SDG12-1,1,1.92381586,2021
SDG12-2,1,52.87671786,2021
SDG13-1,1,4.842546515,2021
SDG14-1,1,26.97516,2021
SDG15-1,1,71.830231,2021
SDG16-1,1,43.67746133,2021
SDG17-1,1,1.499487451,2021
SDG17-2,1,6.289885415,2021
SDG17-3,1,1.643135039,2021
SDG17-4,1,87.51738604,2021
SDG17-5,1,0.232904,2021
SDG17-6,1,1.08477571,2021
SDG17-7,1,3.278131695,2021
SDG1-1,2,20.3016941,2021
SDG2-1,2,10.7383649,2021
SDG3-1,2,13.14474353,2021
SDG3-2,2,71.58690931,2021
SDG3-3,2,0.099091958,2021
SDG3-4,2,13.42004878,2021
SDG3-5,2,5.589277258,2021
SDG3-6,2,1.640211069,2021
SDG4-1,2,50.28828094,2021
SDG6-1,2,69.3625113,2021
SDG6-2,2,58.14713547,2021
SDG6-3,2,75.84073498,2021
SDG7-1,2,67.73880602,2021
SDG7-2,2,85.39611042,2021
SDG8-1,2,3.555,2021
SDG8-2,2,11.60611119,2021
SDG8-3,2,28.13512261,2021
SDG8-4,2,47.73964374,2021
SDG8-5,2,63.55780561,2021
SDG8-6,2,52.75146721,2021
SDG9-1,2,242.5047136,2021
SDG9-2,2,4.884602468,2021
SDG9-3,2,2.736971748,2021
SDG9-4,2,1.975040347,2021
SDG9-5,2,1.378620047,2021
SDG9-6,2,11.71392801,2021
SDG10-2,2,6.233954589,2021
SDG11-1,2,85.37472164,2021
SDG12-1,2,1.903465479,2021
SDG12-2,2,54.28812415,2021
SDG13-1,2,5.010412936,2021
SDG14-1,2,26.92798275,2021
SDG15-1,2,72.77134717,2021
SDG16-1,2,45.30569917,2021
SDG17-1,2,1.604597541,2021
SDG17-2,2,6.628597071,2021
SDG17-3,2,1.637109368,2021
SDG17-4,2,90.81408584,2021
SDG17-5,2,0.215676,2021
SDG17-6,2,1.144496536,2021
SDG17-7,2,3.449993864,2021
SDG1-1,1,20.499336,2022
SDG2-1,1,10.7686158,2022
SDG3-1,1,13.60197454,2022
SDG3-2,1,71.22996018,2022
SDG3-3,1,0.105009819,2022
SDG3-4,1,13.48706934,2022
SDG3-5,1,5.554817994,2022
SDG3-6,1,1.584523081,2022
SDG4-1,1,52.15603108,2022
SDG6-1,1,67.76819067,2022
SDG6-2,1,57.00762838,2022
SDG6-3,1,74.8337119,2022
SDG7-1,1,65.74907935,2022
SDG7-2,1,84.47478894,2022
SDG8-1,1,4.189,2022
SDG8-2,1,11.24043005,2022
SDG8-3,1,27.07738499,2022
SDG8-4,1,46.10725768,2022
SDG8-5,1,61.89982083,2022
SDG8-6,1,50.92738306,2022
SDG9-1,1,246.71044,2022
SDG9-2,1,5.296984694,2022
SDG9-3,1,2.708534835,2022
SDG9-4,1,1.88843574,2022
SDG9-5,1,1.351436726,2022
SDG9-6,1,11.30953785,2022
SDG10-2,1,5.995224565,2022
SDG11-1,1,83.62551018,2022
SDG12-1,1,1.970527356,2022
SDG12-2,1,54.00160337,2022
SDG13-1,1,4.894611926,2022
SDG14-1,1,29.04054603,2022
SDG15-1,1,73.8029945,2022
SDG16-1,1,44.61752779,2022
SDG17-1,1,1.537739201,2022
SDG17-2,1,6.492676625,2022
SDG17-3,1,1.718235203,2022
SDG17-4,1,89.90057088,2022
SDG17-5,1,0.220685,2022
SDG17-6,1,1.120817717,2022
SDG17-7,1,3.344582761,2022
SDG1-1,2,19.6434924,2022
SDG2-1,2,10.6229339,2022
SDG3-1,2,13.12762027,2022
SDG3-2,2,71.61436517,2022
SDG3-3,2,0.099624461,2022
SDG3-4,2,13.01734061,2022
SDG3-5,2,5.592037615,2022
SDG3-6,2,1.641966229,2022
SDG4-1,2,49.26727959,2022
SDG6-1,2,69.55326635,2022
SDG6-2,2,58.32228584,2022
SDG6-3,2,76.09083143,2022
SDG7-1,2,67.92151009,2022
SDG7-2,2,85.51319626,2022
SDG8-1,2,3.555,2022
SDG8-2,2,11.80308539,2022
SDG8-3,2,28.40693522,2022
SDG8-4,2,48.13707154,2022
SDG8-5,2,63.69356567,2022
SDG8-6,2,52.63884245,2022
SDG9-1,2,253.9779153,2022
SDG9-2,2,5.074366104,2022
SDG9-3,2,2.743084287,2022
SDG9-4,2,2.00187965,2022
SDG9-5,2,1.399685448,2022
SDG9-6,2,11.87107402,2022
SDG10-2,2,6.314449918,2022
SDG11-1,2,85.34075769,2022
SDG12-1,2,1.92022169,2022
SDG12-2,2,54.91063707,2022
SDG13-1,2,5.035350049,2022
SDG14-1,2,28.35291114,2022
SDG15-1,2,74.30018958,2022
SDG16-1,2,45.73735092,2022
SDG17-1,2,1.613522143,2022
SDG17-2,2,6.660290198,2022
SDG17-3,2,1.713892723,2022
SDG17-4,2,89.69939622,2022
SDG17-5,2,0.217625,2022
SDG17-6,2,1.15281632,2022
SDG17-7,2,3.482573146,2022
SDG1-1,1,19.9876577,2023
SDG2-1,1,10.662503,2023
SDG3-1,1,13.28666279,2023
SDG3-2,1,71.3855143,2023
SDG3-3,1,0.10115954,2023
SDG3-4,1,13.37110996,2023
SDG3-5,1,5.574778749,2023
SDG3-6,1,1.620375535,2023
SDG4-1,1,50.20622199,2023
SDG6-1,1,68.71386899,2023
SDG6-2,1,57.53506408,2023
SDG6-3,1,75.31751481,2023
SDG7-1,1,66.82997242,2023
SDG7-2,1,85.3536606,2023
SDG8-1,1,3.834,2023
SDG8-2,1,11.49523486,2023
SDG8-3,1,27.71359593,2023
SDG8-4,1,47.01821576,2023
SDG8-5,1,62.90685156,2023
SDG8-6,1,51.67023824,2023
SDG9-1,1,260.2459657,2023
SDG9-2,1,5.270576909,2023
SDG9-3,1,2.719122021,2023
SDG9-4,1,1.916535965,2023
SDG9-5,1,1.360678984,2023
SDG9-6,1,11.55976614,2023
SDG10-2,1,6.086848116,2023
SDG11-1,1,84.03228463,2023
SDG12-1,1,1.954258847,2023
SDG12-2,1,54.47558175,2023
SDG13-1,1,4.908807198,2023
SDG14-1,1,29.88006771,2023
SDG15-1,1,73.80538467,2023
SDG16-1,1,45.26173922,2023
SDG17-1,1,1.575584654,2023
SDG17-2,1,6.588808553,2023
SDG17-3,1,1.751631488,2023
SDG17-4,1,91.81660975,2023
SDG17-5,1,0.216257,2023
SDG17-6,1,1.136796275,2023
SDG17-7,1,3.377285238,2023
SDG1-1,2,19.0501411,2023
SDG2-1,2,10.4529776,2023
SDG3-1,2,12.94409706,2023
SDG3-2,2,71.69450487,2023
SDG3-3,2,0.098056163,2023
SDG3-4,2,13.07210111,2023
SDG3-5,2,5.599772568,2023
SDG3-6,2,1.65943155,2023
SDG4-1,2,46.99026315,2023
SDG6-1,2,69.7958794,2023
SDG6-2,2,58.61227394,2023
SDG6-3,2,76.58691567,2023
SDG7-1,2,68.14791775,2023
SDG7-2,2,86.04394667,2023
SDG8-1,2,3.557,2023
SDG8-2,2,12.02194624,2023
SDG8-3,2,28.66664967,2023
SDG8-4,2,48.68945704,2023
SDG8-5,2,64.19183994,2023
SDG8-6,2,52.81534654,2023
SDG9-1,2,267.0647486,2023
SDG9-2,2,5.204651746,2023
SDG9-3,2,2.746033036,2023
SDG9-4,2,2.045223099,2023
SDG9-5,2,1.416407073,2023
SDG9-6,2,11.88654743,2023
SDG10-2,2,6.430564734,2023
SDG11-1,2,85.63104975,2023
SDG12-1,2,1.92968813,2023
SDG12-2,2,55.2594794,2023
SDG13-1,2,5.086125906,2023
SDG14-1,2,30.360536,2023
SDG15-1,2,74.98553108,2023
SDG16-1,2,46.05364663,2023
SDG17-1,2,1.639597664,2023
SDG17-2,2,6.718501306,2023
SDG17-3,2,1.800727013,2023
SDG17-4,2,89.39915533,2023
SDG17-5,2,0.220204,2023
SDG17-6,2,1.165903204,2023
SDG17-7,2,3.545280416,2023
SDG1-1,1,19.4975293,2024
SDG2-1,1,10.4709014,2024
SDG3-1,1,12.9537237,2024
SDG3-2,1,71.6339035,2024
SDG3-3,1,0.098352985,2024
SDG3-4,1,13.22544399,2024
SDG3-5,1,5.580406789,2024
SDG3-6,1,1.629350608,2024
SDG4-1,1,49.2303326,2024
SDG6-1,1,69.34055502,2024
SDG6-2,1,57.84882096,2024
SDG6-3,1,76.01007031,2024
SDG7-1,1,67.68723085,2024
SDG7-2,1,85.91708779,2024
SDG8-1,1,3.621,2024
SDG8-2,1,11.73513875,2024
SDG8-3,1,28.09650041,2024
SDG8-4,1,47.52259789,2024
SDG8-5,1,63.99714944,2024
SDG8-6,1,52.1969226,2024
SDG9-1,1,269.6740774,2024
SDG9-2,1,5.266253748,2024
SDG9-3,1,2.731978004,2024
SDG9-4,1,1.955556462,2024
SDG9-5,1,1.384598816,2024
SDG9-6,1,11.67472488,2024
SDG10-2,1,6.320905601,2024
SDG11-1,1,84.15033757,2024
SDG12-1,1,1.920458385,2024
SDG12-2,1,54.9986034,2024
SDG13-1,1,4.949022818,2024
SDG14-1,1,31.55344117,2024
SDG15-1,1,73.58753683,2024
SDG16-1,1,45.45256222,2024
SDG17-1,1,1.625866804,2024
SDG17-2,1,6.606696855,2024
SDG17-3,1,1.812738429,2024
SDG17-4,1,91.53578493,2024
SDG17-5,1,0.220464,2024
SDG17-6,1,1.153935878,2024
SDG17-7,1,3.405739325,2024
SDG1-1,2,19.0222696,2024
SDG2-1,2,10.3274841,2024
SDG3-1,2,12.79122176,2024
SDG3-2,2,71.85128171,2024
SDG3-3,2,0.098485829,2024
SDG3-4,2,13.08488367,2024
SDG3-5,2,5.598773139,2024
SDG3-6,2,1.65847902,2024
SDG4-1,2,46.64018844,2024
SDG6-1,2,69.99733738,2024
SDG6-2,2,58.75846509,2024
SDG6-3,2,76.98328139,2024
SDG7-1,2,68.33474706,2024
SDG7-2,2,86.3888717,2024
SDG8-1,2,3.607,2024
SDG8-2,2,12.3065369,2024
SDG8-3,2,28.81478253,2024
SDG8-4,2,48.94859091,2024
SDG8-5,2,64.64357722,2024
SDG8-6,2,53.01561001,2024
SDG9-1,2,277.5171378,2024
SDG9-2,2,5.274526767,2024
SDG9-3,2,2.750844948,2024
SDG9-4,2,2.13958848,2024
SDG9-5,2,1.440258321,2024
SDG9-6,2,12.27675854,2024
SDG10-2,2,6.66384539,2024
SDG11-1,2,85.46625533,2024
SDG12-1,2,1.918263926,2024
SDG12-2,2,56.15559064,2024
SDG13-1,2,5.147482045,2024
SDG14-1,2,31.86737891,2024
SDG15-1,2,74.76354842,2024
SDG16-1,2,46.15437862,2024
SDG17-1,2,1.682965698,2024
SDG17-2,2,6.804433227,2024
SDG17-3,2,1.886921634,2024
SDG17-4,2,89.76180614,2024
SDG17-5,2,0.22819,2024
SDG17-6,2,1.171519199,2024
SDG17-7,2,3.667020457,2024
