Indicator,Index,values,Year
SDG17-7,4,98.77525571,2020
SDG1-1,1,98.16649645,2021
SDG2-1,1,101.2362734,2021
SDG3-3,1,88.82932026,2021
SDG3-6,1,102.9842887,2021
SDG4-1,1,94.48143861,2021
SDG6-2,1,99.87067582,2021
SDG7-1,1,96.3970272,2021
SDG8-1,1,120,2021
SDG8-2,1,99.9710745,2021
SDG8-4,1,97.45924756,2021
SDG8-5,1,97.94539481,2021
SDG9-1,1,97.49447253,2021
SDG9-2,1,121.1030401,2021
SDG9-4,1,101.8093408,2021
SDG9-5,1,101.7239207,2021
SDG10-1,1,105.6680188,2021
SDG11-1,1,106.805447,2021
SDG12-1,1,103.0227569,2021
SDG12-2,1,99.0268659,2021
SDG13-1,1,97.97271768,2021
SDG14-1,1,99.3649584,2021
SDG17-1,1,98.63695024,2021
SDG17-2,1,100.6396966,2021
SDG17-4,1,99.35203315,2021
SDG17-5,1,104.702662,2021
SDG17-7,1,99.22446928,2021
SDG1-1,2,103.0743555,2021
SDG2-1,2,103.5695579,2021
SDG3-3,2,101.9807814,2021
SDG3-6,2,104.6646007,2021
SDG4-1,2,102.4052804,2021
SDG6-2,2,101.9122731,2021
SDG7-1,2,100.9453583,2021
SDG8-1,2,110,2021
SDG8-2,2,106.1858521,2021
SDG8-4,2,103.0613702,2021
SDG8-5,2,102.3064558,2021
SDG9-1,2,107.3626434,2021
SDG9-2,2,119.1289358,2021
SDG9-4,2,109.8341747,2021
SDG9-5,2,106.1166879,2021
SDG10-1,2,115.0936356,2021
SDG11-1,2,105.1771465,2021
SDG12-1,2,101.6865365,2021
SDG12-2,2,96.46142198,2021
SDG13-1,2,93.16855052,2021
SDG14-1,2,101.935892,2021
SDG17-1,2,107.0728956,2021
SDG17-2,2,105.1867014,2021
SDG17-4,2,102.420335,2021
SDG17-5,2,106.9114584,2021
SDG17-7,2,110.6033697,2021
SDG2-1,3,109.6753058,2021
SDG8-1,3,145,2021
SDG8-2,3,96.8538877,2021
SDG9-1,3,100.978999,2021
SDG9-2,3,120.668794,2021
SDG9-4,3,100.549977,2021
SDG9-5,3,100.2964276,2021
SDG9-6,3,95.64784573,2021
SDG10-1,3,97.43183714,2021
SDG11-1,3,106.0233598,2021
SDG12-1,3,88.53845678,2021
SDG12-2,3,102.6928675,2021
SDG13-1,3,98.2196788,2021
SDG17-1,3,95.75398869,2021
SDG17-2,3,94.77542066,2021
SDG17-3,3,100.8603977,2021
SDG17-6,3,94.89806283,2021
SDG17-7,3,98.70029726,2021
SDG2-1,4,106.5602216,2021
SDG8-1,4,98.5,2021
SDG8-2,4,102.3290958,2021
SDG9-1,4,100.7965993,2021
SDG9-2,4,105.664052,2021
SDG9-4,4,102.3035805,2021
SDG9-5,4,100.9847595,2021
SDG9-6,4,103.8339048,2021
SDG10-1,4,100.2505134,2021
SDG11-1,4,100.3296693,2021
SDG12-1,4,102.2435015,2021
SDG12-2,4,99.55351957,2021
SDG13-1,4,96.87708597,2021
SDG17-1,4,101.1258483,2021
SDG17-2,4,100.2556065,2021
SDG17-3,4,102.0065386,2021
